Model year,Make,Model,Vehicle class,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),Range (km),CO2 rating ,Recharge time (h)
2023,Ford,Mustang Mach-E Standard Range (LFP),Sport utility vehicle: Small,19.6,22.0,20.7,402,10.0,7
2023,Ford,Mustang Mach-E Standard Range AWD,Sport utility vehicle: Small,21.1,24.3,22.6,360,10.0,8
2023,Ford,Mustang Mach-E Standard Range AWD (LFP),Sport utility vehicle: Small,21.5,24.0,22.6,370,10.0,7
2023,Ford,Mustang Mach-E Extended Range,Sport utility vehicle: Small,19.9,22.7,21.1,500,10.0,10
2023,Ford,Mustang Mach-E Extended Range AWD,Sport utility vehicle: Small,21.5,24.5,22.9,467,10.0,10
2023,Ford,Mustang Mach-E California Route 1 AWD,Sport utility vehicle: Small,20.0,22.9,21.3,502,10.0,10
2023,Ford,Mustang Mach-E GT Performance Edition,Sport utility vehicle: Small,23.8,27.8,25.6,418,10.0,10
2023,Genesis,Electrified G80,Full-size,19.9,23.6,21.7,454,10.0,9
2023,Genesis,GV60 Advanced AWD,Full-size,20.3,24.2,22.1,399,10.0,7
2023,Genesis,GV60 Performance AWD,Full-size,21.7,25.5,23.0,378,10.0,7
2023,Genesis,Electrified GV70,Sport utility vehicle: Small,21.3,25.1,23.0,383,10.0,7
2023,Hyundai,IONIQ 5 Standard Range,Full-size,16.2,22.4,19.3,354,10.0,6
2023,Hyundai,IONIQ 5 Long Range,Full-size,15.5,21.7,18.6,488,10.0,8
2023,Hyundai,IONIQ 5 Long Range AWD,Full-size,18.9,23.5,21.0,422,10.0,8
2023,Hyundai,IONIQ 6 Standard Range,Mid-size,13.7,17.4,15.5,386,10.0,6
2023,Hyundai,IONIQ 6 Long Range (18'' Wheels),Mid-size,13.7,16.2,14.9,581,10.0,7
2023,Hyundai,IONIQ 6 Long Range AWD (18'' Wheels),Mid-size,16.2,18.6,17.4,509,10.0,7
2023,Hyundai,IONIQ 6 Long Range AWD (20'' Wheels),Mid-size,18.8,22.4,20.5,435,10.0,7
2023,Hyundai,Kona Electric,Sport utility vehicle: Small,15.5,19.9,17.4,415,10.0,9
2023,Jaguar,I-PACE,Sport utility vehicle: Small,24.5,26.7,25.5,381,10.0,13
2023,Kia,EV6 Standard Range,Station wagon: Small,15.5,21.1,18.0,373,10.0,6
2023,Kia,EV6 Long Range,Station wagon: Small,15.5,20.5,18.0,499,10.0,8
2023,Kia,"EV6 Long Range AWD (19"" Wheels)",Station wagon: Small,17.5,21.5,19.3,454,10.0,8
2023,Kia,"EV6 Long Range AWD (20"" Wheels)",Station wagon: Small,19.9,24.2,21.7,406,10.0,8
2023,Kia,EV6 GT AWD,Station wagon: Small,24.7,28.4,26.4,332,10.0,8
2023,Kia,Niro EV,Station wagon: Small,16.8,20.5,18.6,407,10.0,7
2023,Kia,Soul EV (120 Ah),Station wagon: Small,15.6,20.4,17.8,248,10.0,6
2023,Kia,Soul EV (180 Ah),Station wagon: Small,16.9,21.0,18.7,383,10.0,9
2023,Lexus,"RZ 450e AWD (18"" Wheels)",Sport utility vehicle: Small,18.1,21.4,19.6,354,10.0,10
2023,Lexus,"RZ 450e AWD (20"" Wheels)",Sport utility vehicle: Small,20.3,24.1,22.4,315,10.0,10
2023,Lucid,"Air Grand Touring XR (19"" Wheels)",Full-size,16.1,15.8,16.0,830,10.0,13
2023,Lucid,"Air Grand Touring XR (20"" Wheels)",Full-size,17.4,17.1,17.3,755,10.0,13
2023,Lucid,"Air Grand Touring XR (21"" Wheels)",Full-size,17.4,17.1,17.3,755,10.0,13
2023,Lucid,"Air Grand Touring Performance (21"" Wheels)",Full-size,19.0,18.8,18.9,718,10.0,13
2023,Lucid,"Air Pure (19"" Wheels)",Full-size,14.9,14.9,14.9,660,10.0,10
2023,Lucid,"Air Pure (20"" Wheels)",Full-size,17.2,17.4,17.3,618,10.0,10
2023,Lucid,"Air Touring (19"" Wheels)",Full-size,14.9,14.9,14.9,684,10.0,10
2023,Lucid,"Air Touring (20"" Wheels)",Full-size,17.2,17.4,17.3,618,10.0,10
2023,Lucid,"Air Touring (21"" Wheels)",Full-size,17.2,17.4,17.3,618,10.0,10
2023,Mazda,MX-30,Mid-size,21.4,24.6,22.8,161,10.0,5
2023,Mercedes-Benz,AMG EQE 4MATIC+ Sedan,Mid-size,28.1,28.5,28.3,362,10.0,9
2023,Mercedes-Benz,AMG EQS 4MATIC+ Sedan,Full-size,28.4,27.4,27.9,446,10.0,11
2023,Mercedes-Benz,EQB 250+,Sport utility vehicle: Small,18.5,21.6,19.9,394,10.0,7
2023,Mercedes-Benz,EQB 350 4MATIC SUV,Sport utility vehicle: Small,21.4,22.0,21.7,356,10.0,6
2023,Mercedes-Benz,EQE 350 4MATIC Sedan,Mid-size,24.2,24.2,24.2,418,10.0,8
2023,Mercedes-Benz,EQE 350 4MATIC SUV,Sport utility vehicle: Standard,25.4,26.4,25.9,407,10.0,9
2023,Mercedes-Benz,EQE 500 4MATIC Sedan,Mid-size,25.0,25.5,25.2,418,10.0,9
2023,Mercedes-Benz,EQE 500 4MATIC SUV,Sport utility vehicle: Standard,23.0,24.5,23.7,433,10.0,9
2023,Mercedes-Benz,EQS 450 4MATIC Sedan,Full-size,20.7,19.9,20.3,547,10.0,11
2023,Mercedes-Benz,EQS 450 4MATIC SUV,Sport utility vehicle: Standard,26.7,27.3,26.7,459,10.0,11
2023,Mercedes-Benz,EQS 580 4MATIC Sedan,Full-size,23.3,22.7,23.0,547,10.0,11
2023,Mercedes-Benz,EQS 580 4MATIC SUV,Sport utility vehicle: Standard,26.1,28.0,27.3,459,10.0,11
2023,MINI,Cooper SE 3 Door,Subcompact,17.6,20.9,19.1,183,10.0,4
2023,Polestar,2 Single Motor,Mid-size,18.5,20.9,19.6,435,10.0,8
2023,Polestar,2 Dual Motor,Mid-size,20.0,21.9,20.9,418,10.0,8
2023,Polestar,2 Dual Motor Performance Pack,Mid-size,20.0,21.9,20.9,418,10.0,8
2023,Polestar,2 BST Edition,Mid-size,21.3,23.1,22.1,397,10.0,8
2023,Porsche,Taycan 4S (Performance Battery),Compact,25.5,25.5,25.5,332,10.0,9
2023,Porsche,Taycan 4S (Performance Battery Plus),Compact,26.5,26.0,26.3,378,10.0,10
2023,Porsche,Taycan 4S Cross Turismo,Mid-size,26.7,26.7,26.7,370,10.0,10
2023,Porsche,Taycan GTS,Compact,25.1,25.5,25.3,396,10.0,10
2023,Porsche,Taycan GTS Sport Turismo,Compact,26.1,26.2,26.2,322,10.0,10
2023,Porsche,Taycan Turbo,Compact,25.7,26.3,26.0,383,10.0,10
2023,Porsche,Taycan Turbo Cross Turismo,Mid-size,26.1,27.0,26.5,375,10.0,10
2023,Porsche,Taycan Turbo S,Compact,27.3,28.6,28.0,357,10.0,10
2023,Porsche,Taycan Turbo S Cross Turismo,Mid-size,27.3,28.6,28.0,357,10.0,10
2023,Rivian,"R1S (20"" Wheels)",Sport utility vehicle: Standard,30.5,35.1,32.5,465,10.0,13
2023,Rivian,"R1S (20"" Wheels) All-Terrain",Sport utility vehicle: Standard,32.0,35.0,33.4,441,10.0,13
2023,Rivian,"R1S (20"" Wheels) AT Dual Large",Sport utility vehicle: Standard,29.0,32.5,30.6,494,10.0,13
2023,Rivian,"R1S (20"" Wheels) AT Performance Dual Large",Sport utility vehicle: Standard,29.0,32.5,30.6,494,10.0,13
2023,Rivian,"R1S (20"" Wheels) AT Dual Max",Sport utility vehicle: Standard,26.7,31.1,28.7,571,10.0,13
2023,Rivian,"R1S (20"" Wheels) AT Performance Dual Max",Sport utility vehicle: Standard,26.7,31.1,28.7,571,10.0,13
2023,Rivian,"R1S (21"" Wheels)",Sport utility vehicle: Standard,27.8,31.5,29.5,517,10.0,13
2023,Rivian,"R1S (21"" Wheels) Dual Large",Sport utility vehicle: Standard,25.6,28.4,26.9,566,10.0,13
2023,Rivian,"R1S (21"" Wheels) Performance Dual Large",Sport utility vehicle: Standard,25.6,28.4,26.9,566,10.0,13
2023,Rivian,"R1S (21"" Wheels) Dual Max",Sport utility vehicle: Standard,23.5,27.7,25.4,644,10.0,13
2023,Rivian,"R1S (21"" Wheels) Performance Dual Max",Sport utility vehicle: Standard,23.5,27.7,25.4,644,10.0,13
2023,Rivian,"R1S (22"" Wheels)",Sport utility vehicle: Standard,28.7,33.1,30.7,488,10.0,13
2023,Rivian,"R1S (22"" Wheels) Dual Large",Sport utility vehicle: Standard,26.3,29.6,27.8,549,10.0,13
2023,Rivian,"R1S (22"" Wheels) Performance Dual Large",Sport utility vehicle: Standard,26.3,29.6,27.8,549,10.0,13
2023,Rivian,"R1S (22"" Wheels) Dual Max",Sport utility vehicle: Standard,25.0,29.3,26.9,612,10.0,13
2023,Rivian,"R1S (22"" Wheels) Performance Dual Max",Sport utility vehicle: Standard,25.0,29.3,26.9,612,10.0,13
2023,Rivian,"R1T (20"" Wheels)",Pickup truck: Standard,30.5,35.1,32.5,465,10.0,13
2023,Rivian,"R1T (20"" Wheels) All-Terrain",Pickup truck: Standard,32.0,35.0,33.4,441,10.0,13
2023,Rivian,"R1T (20"" Wheels) AT Dual Large",Pickup truck: Standard,29.0,32.5,30.6,494,10.0,13
2023,Rivian,"R1T (20"" Wheels) AT Performance Dual Large",Pickup truck: Standard,29.0,32.5,30.6,494,10.0,13
2023,Rivian,"R1T (20"" Wheels) AT Dual Max",Pickup truck: Standard,26.7,31.1,28.7,571,10.0,13
2023,Rivian,"R1T (20"" Wheels) AT Performance Dual Max",Pickup truck: Standard,26.7,31.1,28.7,571,10.0,13
2023,Rivian,"R1T (21"" Wheels)",Pickup truck: Standard,27.4,30.2,28.7,528,10.0,13
2023,Rivian,"R1T (21"" Wheels) Dual Large",Pickup truck: Standard,25.6,28.4,26.9,566,10.0,13
2023,Rivian,"R1T (21"" Wheels) Performance Dual Large",Pickup truck: Standard,25.6,28.4,26.9,566,10.0,13
2023,Rivian,"R1T (21"" Wheels) Dual Max",Pickup truck: Standard,23.0,27.0,24.8,661,10.0,13
2023,Rivian,"R1T (21"" Wheels) Performance Dual Max",Pickup truck: Standard,23.0,27.0,24.8,661,10.0,13
2023,Rivian,"R1T (22"" Wheels)",Pickup truck: Standard,28.7,33.1,30.7,488,10.0,13
2023,Rivian,"R1T (22"" Wheels) Dual Large",Pickup truck: Standard,26.1,29.5,27.6,549,10.0,13
2023,Rivian,"R1T (22"" Wheels) Performance Dual Large",Pickup truck: Standard,26.1,29.5,27.6,549,10.0,13
2023,Rivian,"R1T (22"" Wheels) Dual Max",Pickup truck: Standard,25.0,29.3,26.9,612,10.0,13
2023,Rivian,"R1T (22"" Wheels) Performance Dual Max",Pickup truck: Standard,25.0,29.3,26.9,612,10.0,13
2023,Subaru,Solterra AWD,Sport utility vehicle: Small,18.6,22.4,20.3,360,10.0,11
2023,Tesla,Model 3 RWD,Mid-size,15.2,16.6,15.8,438,10.0,8
2023,Tesla,Model 3 Long Range AWD (pre-1/10/23),Mid-size,15.6,16.6,16.0,576,10.0,10
2023,Tesla,Model 3 Long Range AWD,Mid-size,16.0,17.3,16.6,536,10.0,10
2023,Tesla,Model 3 Long Range AWD (Import),Mid-size,16.0,17.3,16.6,534,10.0,10
2023,Tesla,Model 3 Performance,Mid-size,17.8,19.6,18.6,507,10.0,10
2023,Tesla,Model S,Full-size,16.9,18.3,17.5,652,10.0,15
2023,Tesla,"Model S Plaid (19"" Wheels)",Full-size,17.6,18.7,18.1,637,10.0,15
2023,Tesla,"Model S Plaid (21"" Wheels)",Full-size,20.4,21.2,20.8,560,10.0,15
2023,Tesla,Model X,Sport utility vehicle: Standard,19.7,21.7,20.6,560,10.0,14
2023,Tesla,"Model X Plaid (20"" Wheels)",Sport utility vehicle: Standard,20.4,22.5,21.4,536,10.0,14
2023,Tesla,"Model X Plaid (22"" Wheels)",Sport utility vehicle: Standard,22.3,23.8,22.9,500,10.0,14
2023,Tesla,Model Y RWD,Sport utility vehicle: Small,16.6,18.1,17.3,394,10.0,8
2023,Tesla,Model Y AWD,Sport utility vehicle: Small,16.3,18.1,17.1,449,10.0,9
2023,Tesla,Model Y Long Range AWD,Sport utility vehicle: Small,16.5,17.9,17.2,531,10.0,10
2023,Tesla,Model Y Long Range AWD (Import),Sport utility vehicle: Small,17.4,18.2,17.8,497,10.0,10
2023,Tesla,Model Y Performance,Sport utility vehicle: Small,18.2,19.8,18.9,488,10.0,10
2023,Tesla,Model Y Performance (Import),Sport utility vehicle: Small,18.3,20.4,19.2,459,10.0,10
2023,Toyota,bZ4X,Sport utility vehicle: Small,16.0,19.5,17.6,406,10.0,11
2023,Toyota,bZ4X AWD,Sport utility vehicle: Small,18.4,22.3,20.1,367,10.0,11
2023,VinFast,VF8 ECO,Sport utility vehicle: Small,26.4,29.5,27.8,425,10.0,12
2023,VinFast,VF8 PLUS,Sport utility vehicle: Small,32.3,34.3,33.2,354,10.0,12
2023,VinFast,VF8 PLUS Performance,Sport utility vehicle: Small,43.8,48.4,45.9,391,10.0,12
2023,Volkswagen,ID.4,Sport utility vehicle: Small,18.2,21.2,19.6,336,10.0,6
2023,Volkswagen,ID.4 Pro,Sport utility vehicle: Small,18.2,21.3,19.6,443,10.0,7
2023,Volkswagen,ID.4 AWD Pro,Sport utility vehicle: Small,20.1,22.6,21.2,410,10.0,7
2023,Volvo,C40 Recharge Twin,Sport utility vehicle: Small,22.2,26.1,23.9,364,10.0,8
2023,Volvo,XC40 Recharge Twin,Sport utility vehicle: Small,22.8,26.6,24.5,359,10.0,8
2024,Audi,e-tron GT,Mid-size,24.8,24.8,24.8,399,10.0,10
2024,Audi,RS e-tron GT,Mid-size,24.8,24.8,24.8,399,10.0,10
2024,Audi,Q4 45 e-tron,Sport utility vehicle: Small,16.8,20.1,18.3,463,10.0,12
2024,Audi,Q4 50 e-tron,Sport utility vehicle: Small,21.5,24.0,22.6,380,10.0,9
2024,Audi,Q4 Sportback 50 e-tron,Sport utility vehicle: Small,21.0,23.4,22.1,389,10.0,9
2024,Audi,Q4 55 e-tron,Sport utility vehicle: Small,19.5,22.7,21.0,415,10.0,12
2024,Audi,Q4 Sportback 55 e-tron,Sport utility vehicle: Small,19.5,22.7,21.0,415,10.0,12
2024,Audi,Q8 e-tron,Sport utility vehicle: Standard,26.1,25.3,25.7,459,10.0,16
2024,Audi,Q8 Sportback e-tron,Sport utility vehicle: Standard,24.9,23.3,24.2,476,10.0,16
2024,Audi,"SQ8 e-tron (20"" Wheels)",Sport utility vehicle: Standard,29.2,27.7,28.5,409,10.0,16
2024,Audi,"SQ8 e-tron (21"" or 22"" Wheels)",Sport utility vehicle: Standard,33.7,33.0,33.4,351,10.0,16
2024,Audi,"SQ8 Sportback e-tron (20"" Wheels)",Sport utility vehicle: Standard,29.2,27.7,28.5,409,10.0,16
2024,Audi,"SQ8 Sportback e-tron (21"" or 22"" Wheels)",Sport utility vehicle: Standard,33.7,33.0,33.4,351,10.0,16
2024,BMW,"i4 eDrive35 Gran Coupe (18"" Wheels)",Subcompact,17.2,17.7,17.4,444,10.0,7
2024,BMW,"i4 eDrive35 Gran Coupe (19"" Wheels)",Subcompact,18.8,19.5,19.1,406,10.0,7
2024,BMW,"i4 eDrive40 Gran Coupe (18"" Wheels)",Subcompact,19.1,19.3,19.2,484,10.0,8
2024,BMW,"i4 eDrive40 Gran Coupe (19"" Wheels)",Subcompact,20.9,21.2,21.0,455,10.0,8
2024,BMW,"i4 xDrive40 Gran Coupe (18"" Wheels)",Subcompact,19.5,18.9,19.2,494,10.0,8
2024,BMW,"i4 xDrive40 Gran Coupe (19"" Wheels)",Subcompact,21.5,20.9,21.2,449,10.0,8
2024,BMW,"i4 M50 Gran Coupe (19"" Wheels)",Subcompact,22.4,21.5,22.0,433,10.0,8
2024,BMW,"i4 M50 Gran Coupe (20"" Wheels)",Subcompact,26.4,26.1,26.3,365,10.0,8
2024,BMW,"i5 M60 Sedan (19"" Wheels)",Compact,23.3,22.6,23.0,412,10.0,8
2024,BMW,"i5 M60 Sedan (20"" Wheels)",Compact,23.5,23.4,23.5,399,10.0,8
2024,BMW,"i5 M60 Sedan (21"" Wheels)",Compact,24.8,24.4,24.6,386,10.0,8
2024,BMW,"i7 xDrive60 Sedan (19"" Wheels)",Full-size,24.1,22.6,23.4,510,10.0,11
2024,BMW,"i7 xDrive60 Sedan (20"" Wheels)",Full-size,25.6,24.2,25.0,480,10.0,11
2024,BMW,"i7 xDrive60 Sedan (21"" Wheels)",Full-size,24.3,23.1,23.8,494,10.0,11
2024,BMW,"i7 M70 xDrive Sedan (20"" Wheels)",Full-size,28.4,26.1,27.4,441,10.0,11
2024,BMW,"i7 M70 xDrive Sedan (21"" Wheels)",Full-size,26.7,24.8,25.8,468,10.0,11
2024,BMW,"iX xDrive40 (20"" Wheels) ",Sport utility vehicle: Standard,24.0,24.5,24.2,351,10.0,8
2024,BMW,"iX xDrive40 (21"" Wheels) ",Sport utility vehicle: Standard,24.3,25.1,24.6,346,10.0,8
2024,BMW,"iX xDrive40 (22"" Wheels) ",Sport utility vehicle: Standard,23.3,24.4,23.8,356,10.0,8
2024,BMW,"iX xDrive50 (20"" Wheels) ",Sport utility vehicle: Standard,25.3,24.7,25.0,500,10.0,11
2024,BMW,"iX xDrive50 (21"" Wheels)",Sport utility vehicle: Standard,25.4,25.4,25.4,494,10.0,11
2024,BMW,"iX xDrive50 (22"" Wheels) ",Sport utility vehicle: Standard,25.5,25.7,25.6,491,10.0,11
2024,BMW,"iX M60 (21"" Wheels)",Sport utility vehicle: Standard,26.8,26.0,26.4,476,10.0,11
2024,BMW,"iX M60 (22"" Wheels)",Sport utility vehicle: Standard,26.8,25.5,26.2,476,10.0,11
2024,Cadillac,LYRIQ (11.5 kW Charger),Sport utility vehicle: Small,22.1,25.5,23.7,505,10.0,10
2024,Cadillac,LYRIQ (19 kW Charger),Sport utility vehicle: Small,22.1,25.5,23.7,505,10.0,6
2024,Cadillac,LYRIQ AWD (11.5 kW Charger),Sport utility vehicle: Small,21.8,25.8,23.6,494,10.0,10
2024,Cadillac,LYRIQ AWD (19 kW Charger),Sport utility vehicle: Small,21.8,25.8,23.6,494,10.0,6
2024,Chevrolet,Blazer EV RS,Sport utility vehicle: Small,21.1,24.8,22.8,521,10.0,11
2024,Chevrolet,Blazer EV 2LT/RS AWD,Sport utility vehicle: Small,20.3,23.8,21.9,449,10.0,9
2024,Chevrolet,Equinox EV,Sport utility vehicle: Small,17.9,21.1,19.3,513,10.0,9
2024,Chevrolet,Equinox EV AWD,Sport utility vehicle: Small,20.7,23.2,21.8,459,10.0,9
2024,Chevrolet,Silverado EV 3WT,Pickup truck: Standard,29.3,34.0,31.4,632,10.0,11
2024,Chevrolet,Silverado EV 4WT,Pickup truck: Standard,31.1,35.7,33.2,724,10.0,12
2024,FIAT,500e,Minicompact,17.4,20.9,19.0,227,10.0,6
2024,Fisker,"Ocean Extreme (20"" Wheels)",Sport utility vehicle: Standard,21.2,24.9,22.9,579,10.0,18
2024,Fisker,"Ocean Extreme (22"" Wheels)",Sport utility vehicle: Standard,21.9,25.3,23.4,541,10.0,18
2024,Fisker,"Ocean Sport (20"" Wheels)",Sport utility vehicle: Standard,20.2,25.9,22.7,372,10.0,12
2024,Fisker,"Ocean Sport (22"" Wheels)",Sport utility vehicle: Standard,25.4,28.0,26.6,312,10.0,12
2024,Fisker,"Ocean Ultra (20"" Wheels)",Sport utility vehicle: Standard,21.8,25.6,23.5,563,10.0,18
2024,Fisker,"Ocean Ultra (22"" Wheels)",Sport utility vehicle: Standard,22.5,26.0,24.1,525,10.0,18
2024,Ford,F-150 Lightning Standard Range,Pickup truck: Standard,27.5,34.5,30.6,386,10.0,11
2024,Ford,F-150 Lightning Extended Range,Pickup truck: Standard,26.9,33.3,29.8,515,10.0,14
2024,Ford,F-150 Lightning Platinum,Pickup truck: Standard,28.7,35.0,31.5,483,10.0,14
2024,Ford,F-150 Lightning Pro,Pickup truck: Standard,26.9,33.3,29.8,515,10.0,10
2024,Ford,Mustang Mach-E Standard Range,Sport utility vehicle: Small,19.7,21.4,20.5,402,10.0,7
2024,Ford,Mustang Mach-E Standard Range AWD,Sport utility vehicle: Small,22.1,23.9,22.9,370,10.0,7
2024,Ford,Mustang Mach-E Extended Range,Sport utility vehicle: Small,18.8,20.9,19.8,515,10.0,10
2024,Ford,Mustang Mach-E Extended Range AWD,Sport utility vehicle: Small,20.3,22.3,21.2,483,10.0,10
2024,Ford,Mustang Mach-E GT,Sport utility vehicle: Small,22.0,24.7,23.2,451,10.0,9
2024,Genesis,Electrified G80,Full-size,19.9,23.6,21.7,454,10.0,9
2024,Genesis,GV60 Advanced AWD,Full-size,20.3,24.2,22.1,399,10.0,7
2024,Genesis,GV60 Performance AWD,Full-size,21.7,25.5,23.0,378,10.0,7
2024,Genesis,Electrified GV70,Sport utility vehicle: Small,21.4,25.2,23.1,380,10.0,7
2024,GMC,HUMMER EV2X Pickup,Pickup truck: Standard,36.0,45.4,40.4,500,10.0,10
2024,GMC,HUMMER EV2X Pickup Mud Terrain Tire,Pickup truck: Standard,40.9,49.0,44.6,449,10.0,10
2024,GMC,HUMMER EV2X SUV,Sport utility vehicle: Standard,37.2,45.7,41.0,488,10.0,10
2024,GMC,HUMMER EV2X SUV Mud Terrain Tire,Sport utility vehicle: Standard,40.9,49.0,44.6,449,10.0,10
2024,GMC,HUMMER EV3X SUV,Sport utility vehicle: Standard,35.8,43.8,39.4,505,10.0,10
2024,GMC,HUMMER EV3X SUV Mud Terrain Tire,Sport utility vehicle: Standard,37.9,46.6,41.6,480,10.0,10
2024,Honda,Prologue EX AWD,Sport utility vehicle: Standard,20.6,23.8,22.1,452,10.0,9
2024,Honda,Prologue EX-L AWD,Sport utility vehicle: Standard,20.6,23.8,22.1,452,10.0,9
2024,Honda,Prologue Touring AWD,Sport utility vehicle: Standard,21.1,25.0,22.8,439,10.0,9
2024,Hyundai,IONIQ 5 Long Range,Sport utility vehicle: Small,15.5,21.7,18.6,488,10.0,8
2024,Hyundai,IONIQ 5 Long Range AWD,Sport utility vehicle: Small,19.5,24.0,21.5,410,10.0,8
2024,Hyundai,IONIQ 6 Long Range (18'' Wheels),Mid-size,13.7,16.2,14.9,581,10.0,7
2024,Hyundai,IONIQ 6 Long Range (20'' Wheels),Mid-size,16.2,19.9,18.0,491,10.0,7
2024,Hyundai,IONIQ 6 Long Range AWD (18'' Wheels),Mid-size,16.2,18.6,17.4,509,10.0,7
2024,Hyundai,IONIQ 6 Long Range AWD (20'' Wheels),Mid-size,18.8,22.4,20.5,435,10.0,7
2024,Hyundai,Kona Electric Long Range,Sport utility vehicle: Small,16.3,20.3,18.1,420,10.0,6
2024,Jaguar,I-PACE,Sport utility vehicle: Small,24.5,26.7,25.5,381,10.0,13
2024,Kia,EV6 Wind,Sport utility vehicle: Small,15.5,20.5,18.0,499,10.0,8
2024,Kia,"EV6 Land AWD (19"" Wheels)",Sport utility vehicle: Small,17.5,21.5,19.3,454,10.0,8
2024,Kia,"EV6 Land AWD (20"" Wheels)",Sport utility vehicle: Small,19.9,24.2,21.7,406,10.0,8
2024,Kia,EV6 GT AWD,Sport utility vehicle: Small,23.6,27.3,25.5,351,10.0,7
2024,Kia,EV9 Light,Sport utility vehicle: Standard,21.1,27.3,23.6,370,10.0,11
2024,Kia,EV9 Wind,Sport utility vehicle: Standard,21.1,26.7,23.6,489,10.0,15
2024,Kia,EV9 Land AWD,Sport utility vehicle: Standard,23.0,28.0,25.5,451,10.0,14
2024,Kia,EV9 Land AWD GT-Line,Sport utility vehicle: Standard,23.6,29.2,26.1,435,10.0,15
2024,Kia,Niro EV,Sport utility vehicle: Small,16.8,20.5,18.6,407,10.0,7
2024,Lexus,"RZ 450e AWD (18"" Wheels)",Sport utility vehicle: Small,18.1,21.4,19.6,354,10.0,10
2024,Lexus,"RZ 450e AWD (20"" Wheels)",Sport utility vehicle: Small,20.3,24.1,22.4,315,10.0,10
2024,Lucid,"Air Pure (19"" Wheels)",Full-size,14.9,15.7,15.3,674,10.0,10
2024,Lucid,"Air Pure (20"" Wheels)",Full-size,15.7,16.7,16.1,634,10.0,10
2024,Lucid,Air Sapphire AWD,Full-size,19.4,20.7,20.0,687,10.0,13
2024,Lucid,"Air Touring AWD (19"" Wheels)",Full-size,15.5,16.0,15.7,661,10.0,10
2024,Lucid,"Air Touring AWD (20"" Wheels)",Full-size,16.8,17.4,17.1,615,10.0,10
2024,Lucid,"Air Touring AWD (21"" Wheels)",Full-size,17.4,18.3,17.8,587,10.0,10
2024,Mazda,MX-30,Mid-size,21.4,24.6,22.8,161,10.0,5
2024,Mercedes-Benz,AMG EQE 4MATIC+ Sedan,Mid-size,28.6,28.6,28.6,370,10.0,10
2024,Mercedes-Benz,AMG EQS 4MATIC+ Sedan,Full-size,26.4,24.5,25.5,483,10.0,11
2024,Mercedes-Benz,EQB 250+,Sport utility vehicle: Small,20.5,23.2,21.7,359,10.0,7
2024,Mercedes-Benz,EQB 300 4MATIC,Sport utility vehicle: Small,23.1,24.5,23.7,340,10.0,6
2024,Mercedes-Benz,EQE 350 4MATIC Sedan,Mid-size,24.2,21.7,23.0,451,10.0,9
2024,Mercedes-Benz,EQE 350 4MATIC SUV,Sport utility vehicle: Standard,23.6,25.5,24.9,426,10.0,9
2024,Mercedes-Benz,EQE 500 4MATIC Sedan,Mid-size,23.6,23.6,23.6,446,10.0,9
2024,Mercedes-Benz,EQE 500 4MATIC SUV,Sport utility vehicle: Standard,23.3,24.8,24.0,462,10.0,9
2024,Mercedes-Benz,EQS 450 4MATIC Sedan,Full-size,22.6,21.4,22.0,555,10.0,12
2024,Mercedes-Benz,EQS 450 4MATIC SUV,Sport utility vehicle: Standard,24.9,25.7,25.2,531,10.0,14
2024,Mercedes-Benz,EQS 580 4MATIC Sedan,Full-size,22.1,21.4,21.8,555,10.0,12
2024,Mercedes-Benz,EQS 580 4MATIC SUV,Sport utility vehicle: Standard,24.7,25.9,25.2,531,10.0,14
2024,Mercedes-Benz,Maybach EQS 680 4MATIC SUV,Sport utility vehicle: Standard,25.9,25.8,25.9,517,10.0,14
2024,MINI,Cooper SE 3 Door,Subcompact,17.6,20.9,19.1,183,10.0,4
2024,Nissan,ARIYA Engage,Station wagon: Small,19.3,22.4,20.7,348,10.0,10
2024,Nissan,ARIYA Evolve+,Station wagon: Small,20.0,23.1,21.4,465,10.0,14
2024,Nissan,ARIYA Venture+,Station wagon: Small,18.9,22.1,20.3,489,10.0,14
2024,Nissan,ARIYA Evolve e-4ORCE,Station wagon: Small,20.7,23.4,21.9,330,10.0,10
2024,Nissan,ARIYA Evolve+ e-4ORCE,Station wagon: Small,21.5,24.3,22.8,438,10.0,13
2024,Nissan,ARIYA Platinum+ e-4ORCE,Station wagon: Small,22.6,24.4,23.4,428,10.0,14
2024,Nissan,LEAF SV,Mid-size,17.0,21.2,18.9,240,10.0,8
2024,Nissan,LEAF SV PLUS,Mid-size,17.3,21.4,19.1,341,10.0,11
2024,Polestar,"2 Single Motor (19"" Wheels)",Mid-size,16.8,19.8,18.2,515,10.0,8
2024,Polestar,"2 Single Motor (20"" Wheels)",Mid-size,17.4,20.5,18.6,494,10.0,8
2024,Polestar,"2 Dual Motor (19"" Wheels)",Mid-size,18.7,21.0,19.7,444,10.0,8
2024,Polestar,"2 Dual Motor (20"" Wheels)",Mid-size,19.3,21.7,20.5,428,10.0,8
2024,Polestar,2 Dual Motor Performance Pack,Mid-size,21.1,23.6,21.7,397,10.0,8
2024,Rivian,"R1S All-Terrain Dual Large (20"" Wheels)",Sport utility vehicle: Standard,29.0,32.5,30.6,494,10.0,13
2024,Rivian,"R1S AT Performance Dual Large (20"" Wheels)",Sport utility vehicle: Standard,29.0,32.5,30.6,494,10.0,13
